"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,ValueFleetGroup

year,fleet,group,value
2020,2,2,0
2020,2,3,7.4128995
2020,2,4,2.8211105
2020,2,5,0
2020,2,6,0
2020,2,7,0
2020,2,8,0
2020,2,9,0
2020,2,10,0
2020,2,11,0
2020,3,1,0
2020,3,2,0
2020,3,3,0
2020,3,4,0
2020,3,5,2.434903
2020,3,6,2.9827883
2020,3,7,0
2020,3,8,0
2020,3,9,0
2020,3,10,0
2020,3,11,0
2020,4,1,0
2020,4,2,0
2020,4,3,0
2020,4,4,0
2020,4,5,0
2020,4,6,0.7456971
2020,4,7,0
2020,4,8,0
2020,4,9,0
2020,4,10,0
2020,4,11,0
2020,5,1,0
2020,5,2,0
2020,5,3,0
2020,5,4,0
2020,5,5,0
2020,5,6,0
2020,5,7,19.217617
2020,5,8,0
2020,5,9,0
2020,5,10,0
2020,5,11,0
2021,1,1,0
2021,1,2,0
2021,1,3,0
2021,1,4,0
2021,1,5,0
2021,1,6,0
2021,1,7,0
2021,1,8,0
2021,1,9,0
2021,1,10,0
2021,1,11,0
2021,2,1,0
2021,2,2,0
2021,2,3,7.119639
2021,2,4,2.8540833
2021,2,5,0
2021,2,6,0
2021,2,7,0
2021,2,8,0
2021,2,9,0
2021,2,10,0
2021,2,11,0
2021,3,1,0
2021,3,2,0
2021,3,3,0
2021,3,4,0
2021,3,5,2.4731476
2021,3,6,3.009365
2021,3,7,0
2021,3,8,0
2021,3,9,0
2021,3,10,0
2021,3,11,0
2021,4,1,0
2021,4,2,0
2021,4,3,0
2021,4,4,0
2021,4,5,0
2021,4,6,0.7523413
2021,4,7,0
2021,4,8,0
2021,4,9,0
2021,4,10,0
2021,4,11,0
2021,5,1,0
2021,5,2,0
2021,5,3,0
2021,5,4,0
2021,5,5,0
2021,5,6,0
2021,5,7,19.545284
2021,5,8,0
2021,5,9,0
2021,5,10,0
2021,5,11,0
2022,1,1,0
2022,1,2,0
2022,1,3,0
2022,1,4,0
2022,1,5,0
2022,1,6,0
2022,1,7,0
2022,1,8,0
2022,1,9,0
2022,1,10,0
2022,1,11,0
2022,2,1,0
2022,2,2,0
2022,2,3,6.851225
2022,2,4,2.8956747
2022,2,5,0
2022,2,6,0
2022,2,7,0
2022,2,8,0
2022,2,9,0
2022,2,10,0
2022,2,11,0
2022,3,1,0
2022,3,2,0
2022,3,3,0
2022,3,4,0
2022,3,5,2.5066686
2022,3,6,3.0287952
2022,3,7,0
2022,3,8,0
2022,3,9,0
2022,3,10,0
2022,3,11,0
2022,4,1,0
2022,4,2,0
2022,4,3,0
2022,4,4,0
2022,4,5,0
2022,4,6,0.7571988
2022,4,7,0
2022,4,8,0
2022,4,9,0
2022,4,10,0
2022,4,11,0
2022,5,1,0
2022,5,2,0
2022,5,3,0
2022,5,4,0
2022,5,5,0
2022,5,6,0
2022,5,7,19.831293
2022,5,8,0
2022,5,9,0
2022,5,10,0
2022,5,11,0
2023,1,1,0
2023,1,2,0
2023,1,3,0
2023,1,4,0
2023,1,5,0
2023,1,6,0
2023,1,7,0
2023,1,8,0
2023,1,9,0
2023,1,10,0
2023,1,11,0
2023,2,1,0
2023,2,2,0
2023,2,3,6.5967984
2023,2,4,2.9410496
2023,2,5,0
2023,2,6,0
2023,2,7,0
2023,2,8,0
2023,2,9,0
2023,2,10,0
2023,2,11,0
2023,3,1,0
2023,3,2,0
2023,3,3,0
2023,3,4,0
2023,3,5,2.53337
2023,3,6,3.0438936
2023,3,7,0
2023,3,8,0
2023,3,9,0
2023,3,10,0
2023,3,11,0
2023,4,1,0
2023,4,2,0
2023,4,3,0
2023,4,4,0
2023,4,5,0
2023,4,6,0.7609733
2023,4,7,0
2023,4,8,0
2023,4,9,0
2023,4,10,0
2023,4,11,0
2023,5,1,0
2023,5,2,0
2023,5,3,0
2023,5,4,0
2023,5,5,0
2023,5,6,0
2023,5,7,20.094893
2023,5,8,0
2023,5,9,0
2023,5,10,0
2023,5,11,0
2024,1,1,0
2024,1,2,0
2024,1,3,0
2024,1,4,0
2024,1,5,0
2024,1,6,0
2024,1,7,0
2024,1,8,0
2024,1,9,0
2024,1,10,0
2024,1,11,0
2024,2,1,0
2024,2,2,0
2024,2,3,6.355498
2024,2,4,2.9899893
2024,2,5,0
2024,2,6,0
2024,2,7,0
2024,2,8,0
2024,2,9,0
2024,2,10,0
2024,2,11,0
2024,3,1,0
2024,3,2,0
2024,3,3,0
2024,3,4,0
2024,3,5,2.5538976
2024,3,6,3.0574875
2024,3,7,0
2024,3,8,0
2024,3,9,0
2024,3,10,0
2024,3,11,0
2024,4,1,0
2024,4,2,0
2024,4,3,0
2024,4,4,0
2024,4,5,0
2024,4,6,0.7643719
2024,4,7,0
2024,4,8,0
2024,4,9,0
2024,4,10,0
2024,4,11,0
2024,5,1,0
2024,5,2,0
2024,5,3,0
2024,5,4,0
2024,5,5,0
2024,5,6,0
2024,5,7,20.345762
2024,5,8,0
2024,5,9,0
2024,5,10,0
2024,5,11,0
2025,1,1,0
2025,1,2,0
2025,1,3,0
2025,1,4,0
2025,1,5,0
2025,1,6,0
2025,1,7,0
