"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Bait boats"

Step,61
Year,5.083313
-9999,0,0,4.15654993057251,3.39520525932312,2.5996508598327637,1.818395972251892,1.1695663928985596,0.75068199634552,0.523955762386322,0.4151249825954437,0.36989980936050415,0.3674177825450897,0.4100411832332611,0.5158817172050476,0.7137002348899841,1.006365418434143,0,0,-9999
-9999,0,0,3.872361421585083,2.972003221511841,2.123150587081909,1.3571293354034424,0.7844708561897278,0.4543457329273224,0.2897336483001709,0.2177732288837433,0.1872774213552475,0.08174197375774384,0.11099465936422348,0.24592764675617218,0.07693709433078766,0.5166106820106506,0,0,-9999
-9999,0,0,3.2835233211517334,2.373575210571289,1.595527172088623,0.9601238965988159,0.5137969851493835,0.26924043893814087,0.15874244272708893,0.10261010378599167,0.080759696662426,0.048779506236314774,0.0670933797955513,0.06100478395819664,0.12803952395915985,0.20996804535388947,0,0,-9999
-9999,0,0,2.4914917945861816,1.6638822555541992,1.0507415533065796,0.6061625480651855,0.3152506351470947,0.153711199760437,0.08609294146299362,0.054522257298231125,0.039724379777908325,0.0144821060821414,0.02372833341360092,0.021738557144999504,0.04198101535439491,0.06426114588975906,0,0,-9999
-9999,0,0,1.7681699991226196,1.062505841255188,0.6206944584846497,0.34447476267814636,0.17394061386585236,0.09109355509281158,0.05208595469594002,0.033282920718193054,0.023167317733168602,0.017754225060343742,0.015195831656455994,0.009444828145205975,0.008565413765609264,0.019314030185341835,0,-9999,-9999
-9999,0,0,1.2957558631896973,0.7056914567947388,0.36921900510787964,0.19069762527942657,0.10031674802303314,0.056830838322639465,0.034401021897792816,0.015176204033195972,0.012394730001688004,0.0014157225377857685,0.013923192396759987,0.006857822183519602,0.0075814370065927505,0.01861383393406868,0.0028350402135401964,-9999,-9999
-9999,0,0,1.0173094272613525,0.5136149525642395,0.22997818887233734,0.11475515365600586,0.06075438857078552,0.03568202629685402,0.015083953738212585,0.013877575285732746,0.013807362876832485,0.011482092551887035,0.01620365120470524,0.01796957105398178,0.019908107817173004,0.02195272594690323,0.02427671104669571,0.019880235195159912,0.02948744408786297
-9999,-9999,0,0.8169069290161133,0.3971530497074127,0.16645346581935883,0.07645191252231598,0.03938443958759308,0.012862770818173885,0.013652305118739605,0.015093410387635231,0.015590584836900234,0.01487873774021864,0.014310067519545555,0.013584486208856106,0.015002422034740448,0.016456177458167076,0.020892377942800522,0.025750014930963516,0.03005646914243698
-9999,-9999,0,0,0.314103364944458,0.12528055906295776,0.05397161468863487,0.02647881768643856,0.011606479994952679,0.01652441918849945,0.016410695388913155,0.01704111509025097,0.018329981714487076,0.02013476938009262,0.02223285660147667,0.024424100294709206,0.02655644901096821,0.02843155711889267,0.029849648475646973,0.030593005940318108
-9999,-9999,-9999,0,0.2665075659751892,0.10871771723031998,0.04543231427669525,0.021749069914221764,0.011981151066720486,0.017185745760798454,0.01714901626110077,0.01783955655992031,0.019198907539248466,0.021074948832392693,0.023231180384755135,0.02542702667415142,0.02750430628657341,0.029159383848309517,0.03031708486378193,0.030912354588508606

Step,73
Year,6.083309
