"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Seals

Step,61
Year,5.083313
-9999,0.11849445104598999,0.09434016048908234,0.06939547508955002,0.04739829897880554,0.027623577043414116,0.01379853580147028,0.0058657582849264145,0.0023383628576993942,0.0014241434400901198,0.0014723483473062515,0.0032719748560339212,0.009290597401559353,0.022259488701820374,0.04532244801521301,0.07863032817840576,0.11643300205469131,0.14715887606143951,-9999,-9999
-9999,0.12006226927042007,0.11272545903921127,0.08991360664367676,0.06128580868244171,0.035710640251636505,0.019252747297286987,0.009575430303812027,0.004098993726074696,0.0015106556238606572,0.001484340406022966,0.0030352985486388206,0.008669362403452396,0.020794227719306946,0.04237983003258705,0.07358299940824509,0.10924306511878967,0.13903293013572693,0.15197475254535675,0.15256433188915253
-9999,-9999,0.12443568557500839,0.09910434484481812,0.07287706434726715,0.04971888288855553,0.028930917382240295,0.014439033344388008,0.0061363521963357925,0.0022689306642860174,0.0014902683906257153,0.0024035442620515823,0.006886774208396673,0.016584865748882294,0.033741265535354614,0.05874485522508621,0.08723209798336029,0.11083488911390305,0.12035214900970459,0.12059559673070908
-9999,-9999,0.12590444087982178,0.11745153367519379,0.09343782067298889,0.06357340514659882,0.03699051961302757,0.01837998442351818,0.007816685363650322,0.0028788766358047724,0.0014926409348845482,0.001619415357708931,0.004653106443583965,0.011183423921465874,0.02291540987789631,0.03972073271870613,0.05924798548221588,0.07517039030790329,0.08134009689092636,0.08140470832586288
-9999,-9999,-9999,0.12833847105503082,0.10188337415456772,0.06923439353704453,0.04021294042468071,0.0199605580419302,0.008481189608573914,0.003131335834041238,0.0014937174273654819,0.00153790891636163,0.00267753261141479,0.006411262322217226,0.013174530118703842,0.022844746708869934,0.03412851318717003,0.04311449080705643,0.04676146060228348,0.04677123948931694

Step,85
Year,7.0833054
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.10685160011053085,0.10695135593414307,-9999,-9999,0.10862868279218674,0.10876967012882233,-9999,-9999,-9999
