"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Shrimpers

Step,61
Year,5.083313
-9999,0.5518961548805237,0.4329177439212799,0.26226457953453064,0.13506051898002625,0.0601324588060379,0.03136802837252617,0.018514536321163177,0.012887390330433846,0,0,0,0,0.01284519862383604,0.014526833780109882,0.01598515547811985,0.017266280949115753,0.01874447613954544,0,0
-9999,-9999,0.3297460377216339,0.21207982301712036,0.10567107796669006,0.04452436417341232,0.022297676652669907,0.013606889173388481,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,0.23372101783752441,0.1645636409521103,0.08426707983016968,0.03461240977048874,0.016933975741267204,0.010413167998194695,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,-9999,0.13550947606563568,0.07061132043600082,0.03054359368979931,0.014901033602654934,0.009260563179850578,0,0,0,0,0,0,0,0,0,0,0,0

Step,85
Year,7.0833054
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1971449851989746,1.1961864233016968,-9999,-9999,1.2337586879730225,1.2208595275878906,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.1990230083465576,1.2061591148376465,1.2179040908813477,1.2192304134368896,1.2161508798599243,1.217348337173462,1.2046483755111694,1.212215781211853,1.2245829105377197,1.2344703674316406,1.2381452322006226,1.2393832206726074,1.229864478111267,1.2190191745758057,-9999,-9999
-9999,-9999,-9999,1.212392807006836,1.218759298324585,1.2247751951217651,1.2307605743408203,1.229656457901001,1.228803038597107,1.2248512506484985,1.2250123023986816,1.2317461967468262,1.244182825088501,1.254747986793518,1.2659353017807007,1.2687411308288574,1.2580736875534058,1.2461974620819092,-9999,-9999
-9999,-9999,-9999,1.2275607585906982,1.2358454465866089,1.250437617301941,1.2533323764801025,1.2465932369232178,1.224198818206787,1.1875932216644287,1.150822401046753,1.1367324590682983,1.156472086906433,1.2039000988006592,1.2557520866394043,1.2837684154510498,1.2866579294204712,1.2936854362487793,-9999,-9999
-9999,-9999,1.2326072454452515,1.2460527420043945,1.260537028312683,1.2692641019821167,1.2588369846343994,1.2235602140426636,1.1517084836959839,1.0459882020950317,0.9365987777709961,0.8833820819854736,0.9061598777770996,1.0067123174667358,1.1368458271026611,1.2301557064056396,1.281704068183899,1.2987629175186157,1.2852957248687744,-9999
-9999,-9999,1.2466307878494263,1.2612923383712769,1.283044695854187,1.2825791835784912,1.2469714879989624,1.163648009300232,1.0246927738189697,0.8477924466133118,0.6876426935195923,0.606322169303894,0.6232534646987915,0.7418230772018433,0,1.0919840335845947,1.209415316581726,1.2667152881622314,1.2822638750076294,-9999
-9999,-9999,1.2782409191131592,1.294734001159668,1.3038899898529053,1.277737021446228,1.1938964128494263,1.0465608835220337,0.8519467711448669,0.6485300660133362,0.4942439794540405,0.41433054208755493,0.4193337559700012,0.5097852349281311,0.6764888763427734,0.8726711273193359,1.0416483879089355,1.1566334962844849,1.2041229009628296,-9999
-9999,1.2926198244094849,1.3158608675003052,1.3226627111434937,1.3039191961288452,1.219699501991272,1.0620572566986084,0.8515028953552246,0.6364070177078247,0.45945677161216736,0.3447812795639038,0.2876147925853729,0.28444257378578186,0.3410989046096802,0.4587375521659851,0,0.8096015453338623,0.9520663619041443,1.0230714082717896,-9999
-9999,1.3252418041229248,1.3378318548202515,1.3242671489715576,1.24653160572052,1.0773056745529175,0.8457723259925842,0.6055537462234497,0.4140796661376953,0.290113240480423,0.22301772236824036,0.19075031578540802,0.1890450417995453,0.21864689886569977,0.29003483057022095,0,0.5539196729660034,0.689476490020752,0.7617849707603455,-9999
-9999,1.349896788597107,1.3397377729415894,1.2770545482635498,1.1264970302581787,0.8922293186187744,0.6231157183647156,0.3905145823955536,0.2421855926513672,0.16365039348602295,0.12639500200748444,0.11109383404254913,0.11065616458654404,0.12576323747634888,0.1624436229467392,0.22981107234954834,0.3231690526008606,0.424831748008728,0.48079952597618103,-9999
-9999,1.3264894485473633,1.2874178886413574,1.1595940589904785,0.9519719481468201,0.6963306665420532,0.4403996467590332,0.24727441370487213,0.139236718416214,0.08706027269363403,0.06447139382362366,0.055252477526664734,0,0,0.07483811676502228,0,0.15781402587890625,0.2169174700975418,0.2499818652868271,-9999
-9999,1.219408631324768,1.1402355432510376,0.9516780972480774,0.7266767024993896,0.4967997372150421,0.2960541546344757,0.15508611500263214,0.07974757254123688,0.04660433903336525,0.028905745595693588,0.022789357230067253,0,0,0,0.037152793258428574,0.06246759369969368,0.09225939214229584,0.1112712174654007,-9999
-9999,1.0183751583099365,0.9105299711227417,0.6930150389671326,0.48187708854675293,0.3089849352836609,0.17824974656105042,0.09175911545753479,0.043116893619298935,0.02457568794488907,0.016206542029976845,0.01255408488214016,0,0,0,0.013836723752319813,0.019931165501475334,0.032169271260499954,0.04176854342222214,-9999
-9999,0.8040187358856201,0.6891913414001465,0.47251227498054504,0.2920643985271454,0.17372047901153564,0.0973619818687439,0.04826784133911133,0.025984611362218857,0.016181563958525658,0.011720936745405197,0.00941152311861515,0.008216329850256443,0.007748892065137625,0,0,0.009309094399213791,0.013387089595198631,-9999,-9999
-9999,0.6548639535903931,0.5395041108131409,0.33827516436576843,0.18837493658065796,0.10027577728033066,0.05170299857854843,0.02840740978717804,0.017796507105231285,0.012601702474057674,0,0,0,0.0094879399985075,0,0,0.0125952223315835,0,-9999,-9999
-9999,0.5550984144210815,0.43592971563339233,0.2644258141517639,0.1363690197467804,0.060838356614112854,0.03178158774971962,0.018766509369015694,0.013051226735115051,0,0,0,0,0.012898208573460579,0.014574863947927952,0.01602545753121376,0.017295176163315773,0.01875454932451248,0,0
-9999,-9999,0.3326531946659088,0.21412962675094604,0.10682236403226852,0.04509593918919563,0.022604065015912056,0.01378742977976799,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,0.23605044186115265,0.16634304821491241,0.08527009934186935,0.03507953882217407,0.017167434096336365,0.01054151076823473,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,-9999,0.13711872696876526,0.07153399288654327,0.030971918255090714,0.015107872895896435,0.00936882197856903,0,0,0,0,0,0,0,0,0,0,0,0

Step,97
Year,8.083302
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.193671703338623,1.1927013397216797,-9999,-9999,1.2295039892196655,1.2165812253952026,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.1943297386169434,1.2016136646270752,1.2136114835739136,1.2153115272521973,1.2126790285110474,1.2142643928527832,1.2017141580581665,1.2091683149337769,1.2214595079421997,1.2312933206558228,1.2347023487091064,1.2355291843414307,1.2258296012878418,1.2149600982666016,-9999,-9999
-9999,-9999,-9999,1.2076689004898071,1.2141344547271729,1.2204149961471558,1.2267906665802002,1.226162075996399,1.225885033607483,1.2223578691482544,1.2227799892425537,1.2295916080474854,1.241950511932373,1.2522799968719482,1.2630810737609863,1.265446424484253,1.2544496059417725,1.2423943281173706,-9999,-9999
-9999,-9999,-9999,1.2229667901992798,1.2314637899398804,1.2464679479599,1.2500368356704712,1.243923306465149,1.2221653461456299,1.1861915588378906,1.1499398946762085,1.1361294984817505,1.1558383703231812,1.2029025554656982,1.2541216611862183,1.281416654586792,1.2837169170379639,1.2903602123260498,-9999,-9999
-9999,-9999,1.2281876802444458,1.2416878938674927,1.2565038204193115,1.265856385231018,1.2563352584838867,1.221860647201538,1.1508827209472656,1.0460340976715088,0.9373660087585449,0.8845483064651489,0.9073726534843445,1.0075820684432983,1.1369705200195312,1.229260802268982,1.2798086404800415,1.2962160110473633,1.282779574394226,-9999
